l2,l1,dictionary
afr,eng,freedict
ara,eng,freedict
ces,eng,freedict
cym,eng,freedict
dan,eng,freedict
deu,eng,freedict
epo,eng,freedict
fin,eng,freedict
fra,eng,freedict
gle,eng,freedict
hrv,eng,freedict
hun,eng,freedict
isl,eng,freedict
ita,eng,freedict
kur,eng,freedict
lat,eng,freedict
lit,eng,freedict
nld,eng,freedict
pol,eng,freedict
por,eng,freedict
slk,eng,freedict
spa,eng,freedict
srp,eng,freedict
swa,eng,freedict
swe,eng,freedict
tur,eng,freedict
eng,afr,freedict
eng,ara,freedict
eng,ell,freedict
eng,fin,freedict
eng,fra,freedict
eng,gle,freedict
eng,hin,freedict
eng,hrv,freedict
eng,hun,freedict
eng,ita,freedict
eng,jpn,freedict
eng,lat,freedict
eng,nld,freedict
eng,pol,freedict
eng,por,freedict
eng,ron,freedict
eng,rus,freedict
eng,spa,freedict
eng,srp,freedict
eng,swa,freedict
eng,swe,freedict
eng,tur,freedict
eng,zho,ecdict
rus,eng,openrussian
kor,eng,kengdic
jpn,eng,edict
zho,eng,hsk-cedict
ceb,eng,wiktionary
fas,eng,wiktionary
hin,eng,wiktionary
pan,eng,wiktionary
kat,eng,wiktionary
mlt,eng,wiktionary
