iso639-2t,iso639-1,name,direction
aar,aa,Afar,
abk,ab,Abkhazian,
ace,,Achinese,
ach,,Acoli,
ada,,Adangme,
ady,,Adyghe,
afa,,Afro-Asiatic,
afh,,Afrihili,
afr,af,Afrikaans,
ain,,Ainu,
aka,ak,Akan,
akk,,Akkadian,
ale,,Aleut,
alg,,Algonquian,
alt,,Southern Altai,
amh,am,Amharic,
ang,,Old English,
anp,,Angika,
apa,,Apache,
ara,ar,Arabic,rtl
arc,,Official Aramaic,rtl
arg,an,Aragonese,
arn,,Mapudungun,
arp,,Arapaho,
art,,Artificial,
arw,,Arawak,
asm,as,Assamese,
ast,,Asturian,
ath,,Athapascan,
aus,,Australian,
ava,av,Avaric,
ave,ae,Avestan,
awa,,Awadhi,
aym,ay,Aymara,
aze,az,Azerbaijani,
bad,,Banda,
bai,,Bamileke,
bak,ba,Bashkir,
bal,,Baluchi,
bam,bm,Bambara,
ban,,Balinese,
bas,,Basa,
bat,,Baltic,
bej,,Beja,
bel,be,Belarusian,
bem,,Bemba,
ben,bn,Bengali,
ber,,Berber,
bho,,Bhojpuri,
bih,bh,Bihari,
bik,,Bikol,
bin,,Bini,
bis,bi,Bislama,
bla,,Siksika,
bnt,,Bantu,
bod,bo,Tibetan,
bos,bs,Bosnian,
bra,,Braj,
bre,br,Breton,
btk,,Batak,
bua,,Buriat,
bug,,Buginese,
bul,bg,Bulgarian,
byn,,Blin,
cad,,Caddo,
cai,,Central American Indian,
car,,Galibi Carib,
cat,ca,Catalan,
cau,,Caucasian,
ceb,,Cebuano,
cel,,Celtic,
ces,cs,Czech,
cha,ch,Chamorro,
chb,,Chibcha,
che,ce,Chechen,
chg,,Chagatai,
chk,,Chuukese,
chm,,Mari,
chn,,Chinook jargon,
cho,,Choctaw,
chp,,Chipewyan,
chr,,Cherokee,
chu,cu,Church Slavic,
chv,cv,Chuvash,
chy,,Cheyenne,
cmc,,Chamic,
cnr,,Montenegrin,
cop,,Coptic,
cor,kw,Cornish,
cos,co,Corsican,
cpe,,English Creole,
cpf,,French Creole,
cpp,,Portuguese Creole,
cre,cr,Cree,
crh,,Crimean Tatar,
crp,,Creoles and pidgins,
csb,,Kashubian,
cus,,Cushitic,
cym,cy,Welsh,
dak,,Dakota,
dan,da,Danish,
dar,,Dargwa,
day,,Land Dayak,
del,,Delaware,
den,,Slave,
deu,de,German,
dgr,,Dogrib,
din,,Dinka,
div,dv,Divehi,rtl
