code,locale
af,af-ZA
am,am-ET
arn,arn-CL
as,as-IN
az,az-Cyrl-AZ
az,az-Latn-AZ
ba,ba-RU
be,be-BY
bg,bg-BG
bn,bn-BD
bn,bn-IN
bo,bo-CN
br,br-FR
bs,bs-Cyrl-BA
bs,bs-Latn-BA
ca,ca-ES
co,co-FR
cs,cs-CZ
cy,cy-GB
da,da-DK
de,de-AT
de,de-CH
de,de-DE
de,de-LI
de,de-LU
dsb,dsb-DE
dv,dv-MV
el,el-GR
en,en-CA
en,en-GB
en,en-IE
en,en-US
es,es-419
es,es-ES
es,es-MX
es,es-US
et,et-EE
eu,eu-ES
fa,fa-IR
fi,fi-FI
fil,fil-PH
fo,fo-FO
fr,fr-BE
fr,fr-CA
fr,fr-CH
fr,fr-FR
fr,fr-LU
fr,fr-MC
fy,fy-NL
ga,ga-IE
gd,gd-GB
gl,gl-ES
gsw,gsw-FR
gu,gu-IN
ha,ha-Latn-NG
he,iw
he,he-IL
hi,hi-IN
hr,hr-BA
hr,hr-HR
hsb,hsb-DE
hu,hu-HU
hy,hy-AM
id,id-ID
ig,ig-NG
ii,ii-CN
is,is-IS
it,it-CH
it,it-IT
iu,iu-Cans-CA
iu,iu-Latn-CA
ja,ja-JP
ka,ka-GE
kk,kk-KZ
kl,kl-GL
km,km-KH
kn,kn-IN
kok,kok-IN
ko,ko-KR
ky,ky-KG
lb,lb-LU
lo,lo-LA
lt,lt-LT
lv,lv-LV
mi,mi-NZ
mk,mk-MK
ml,ml-IN
mn,mn-MN
mn,mn-Mong-CN
moh,moh-CA
mr,mr-IN
ms,ms-BN
ms,ms-MY
mt,mt-MT
nb,nb-NO
ne,ne-NP
nl,nl-BE
nl,nl-NL
nn,nn-NO
nso,nso-ZA
oc,oc-FR
or,or-IN
pa,pa-IN
pl,pl-PL
prs,prs-AF
ps,ps-AF
pt,pt-BR
pt,pt-PT
qut,qut-GT
quz,quz-BO
quz,quz-EC
quz,quz-PE
rm,rm-CH
ro,ro-RO
ro,mo
ru,ru-RU
rw,rw-RW
sah,sah-RU
sa,sa-IN
se,se-FI
se,se-NO
se,se-SE
si,si-LK
sk,sk-SK
sl,sl-SI
sma,sma-NO
sma,sma-SE
smj,smj-NO
smj,smj-SE
smn,smn-FI
sms,sms-FI
sq,sq-AL
sr,sr-Cyrl
sr,sr-Latn
sv,sv-FI
sv,sv-SE
sw,sw-KE
syr,syr-SY
ta,ta-IN
te,te-IN
tg,tg-Cyrl-TJ
th,th-TH
tk,tk-TM
tn,tn-ZA
tr,tr-TR
tt,tt-RU
tzm,tzm-Latn-DZ
ug,ug-CN
uk,uk-UA
ur,ur-PK
uz,uz-Cyrl-UZ
uz,uz-Latn-UZ
uz,uz-Latn
uz,uz-Cyrl
vi,vi-VN
wo,wo-SN
xh,xh-ZA
yo,yo-NG
zh,zh-Hans
zh,zh-Hant
zh,zh-CN
zh,zh-HK
zh,zh-MO
zh,zh-SG
zh,zh-TW
zu,zu-ZA
ceb,fil
ceb,fil-PH
tl,fil
tl,fil-PH
crh,tr
yue,zh-HK
