word_id	incomparable	comparative	superlative	short_m	short_f	short_n	short_pl	decl_m_id	decl_f_id	decl_n_id	decl_pl_id
8								24574	24575	24576	24577
14								83751	83752	83753	83754
30								24582	24583	24584	24585
31								24586	24587	24588	24589
38								24594	24595	24596	24597
42								24598	24599	24600	24601
55								24602	24603	24604	24605
58								24606	24607	24608	24609
62	0	бо'льше;бо'льший	наибо'льший	вели'к	велика'	велико'	велики'	1929	1930	1931	1932
65	0							24610	24611	24612	24613
66								24614	24615	24616	24617
72								24618	24619	24620	24621
79								14248	14249	14250	14251
112	0			до'лжен	должна'	должно'	должны'	5212	5213	5214	5215
114	0	нове'е	нове'йший	нов	нова'	но'во	но'вы / новы'	12450	12451	12452	12453
115								7479	7480	7481	7482
116	0	лу'чше	лу'чший;наилу'чший	хоро'ш	хороша'	хорошо'	хороши'	23092	23093	23094	23095
135				ну'жен	нужна'	ну'жно	нужны'	12563	12564	12565	12566
151								15698	15699	15700	15701
158								3398	3399	3400	3401
184	0	ста'рше;старе'е	са'мый ста'рый	стар	стара'	ста'ро,старо'	ста'ры,стары'	20358	20359	20360	20361
186								24628	24629	24630	24631
195				бе'л	бела'	бе'ло,бело'	бе'лы,белы'	1460	1461	1462	1463
196	0	главне'е	са'мый гла'вный	гла'вен	главна'	гла'вно	гла'вны	3934	3935	3936	3937
214								24634	24635	24636	24637
226	0							83134	83135	83136	83137
227	0			далёк	далека'	далеко'	далеки'//далёки	24638	24639	24640	24641
228	0	ме'ньше;ме'ньший	наиме'ньший	мал	мала'	мало'	малы'	10128	10129	10130	10131
232								19744	19745	19746	19747
247	0							18393	18394	18395	18396
250	0	полне'е	полне'йший	по'лон	полна'	полно'	полны'	15380	15381	15382	15383
252								24642	24643	24644	24645
257				изве'стен	изве'стна	изве'стно	изве'стны	6768	6769	6770	6771
261				о'бщ	обща'	о'бще	о'бщи	12860	12861	12862	12863
268								17064	17065	17066	17067
277	0			похо'ж	похо'жа	похо'же	похо'жи	15844	15845	15846	15847
286	0	красне'е	красне'йший	кра'сен	красна'	кра'сно,красно'	кра'сны,красны'	8965	8966	8967	8968
293	0	вы'ше	высоча'йший;вы'сший	высо'к	высока'	высоко',высо'ко	высоки',высо'ки	3563	3564	3565	3566
299								17649	17650	17651	17652
304				цел	цела'	це'ло	це'лы	23222	23223	23224	23225
306	0	моло'же	са'мый молодо'й	мо'лод	молода'	мо'лодо	мо'лоды	10912	10913	10914	10915
307				огро'мен	огро'мна	огро'мно	огро'мны	12984	12985	12986	12987
309	0							11616	11617	11618	11619
324				жив	жива'	жи'во	жи'вы	5830	5831	5832	5833
333				чёрен	черна'	черно'	черны'	24654	24655	24656	24657
344	0							19718	19719	19720	19721
350				ра'зен	ра'зна	ра'зно	ра'зны	17564	17565	17566	17567
360								21590	21591	21592	21593
