id	category_id	position	word_id	overwrite_tl_en	overwrite_tl_de
1024	32	1	2110		
1025	32	2	20244		
1026	32	3	16460		
1027	32	4	13578		
1028	32	5	7462		
1029	32	6	5675		
1030	32	7	3464		
1031	32	8	1932		
1032	32	9	1882		
1033	32	10	1769		
1034	32	11	1185		
1035	32	12	1627		
1036	32	13	1565		
1037	32	14	24128		
1038	33	1	92		
1039	33	2	365		
1040	33	3	6326		
1041	33	4	3205		
1042	33	5	2811		
1043	33	6	127		
1044	33	7	1053		
1045	33	8	3431		
1046	33	9	57		
1047	33	10	237		
1048	33	11	1353		
1049	33	12	1387		
1050	34	1	985		
1051	34	2	6991		
1052	34	3	16297		
1053	34	4	10111		
1054	34	5	1584		
1055	34	6	5358		
1056	34	7	8496		
1057	34	8	1602		
1058	34	9	1038		
1059	34	10	16746		
1060	34	11	2523		
1061	34	12	1219		
1062	34	13	457		
1063	34	14	799		
1064	34	15	282		
1065	34	16	828		
1066	34	17	352		
1067	34	18	313		
1068	34	19	173		
1069	35	1	479		
1070	35	2	12486		
1071	35	3	18989		
1072	35	4	4716		
1073	35	5	5084		
1074	35	6	2294		
1075	35	7	333		
1076	35	8	1499		
1077	35	9	195		
1078	35	10	526		
1079	35	11	868		
1080	35	12	717		
1081	35	13	286		
1082	35	14	672		
1083	35	15	4132		
1084	36	1	2531		
1085	36	2	2218		
1086	36	3	1717		
1087	36	4	1828		
1088	36	5	1628		
1089	36	6	2484		
1090	36	7	2318		
1091	36	8	2249		
1092	36	9	3118		
1093	36	10	2347		
1094	36	11	3378		
1095	36	12	2297		
1096	37	1	961		
1097	37	2	1247		
1098	37	3	872		
1099	37	4	1477		
1100	38	1	1530		
1101	38	2	1611		
1102	38	3	2105		
1103	38	4	3723		
1104	38	5	7808		
1105	38	6	8410		
1106	38	7	32369		
1107	39	1	751		
1108	39	2	197		
1109	39	3	148		
1110	39	4	80		
1111	39	5	396		
1112	39	6	303		
1113	39	7	49		
1114	40	1	50373		
1115	40	2	37346		
1116	40	3	35399		
1117	41	1	4359		
1118	41	2	7686		
1119	41	3	1674		
1120	41	4	7338		
1121	41	5	4833		
1122	41	6	3006		
1123	41	7	2735		
1124	42	1	837		
1125	42	2	6479		
1126	42	3	5976		
1127	42	4	32599		
1128	42	5	24451		
1129	42	6	6957		
1130	42	7	1166		
1131	42	8	5424		
1132	42	9	626		
1133	42	10	1007		
1134	42	11	1822		
1135	42	12	11638		
1136	42	13	5214		
1137	42	14	9959		
1138	42	15	13205		
1139	42	16	1457		
1140	42	17	2401		
1141	43	1	1362		
1142	43	2	2923		
1143	43	3	5361		
1144	43	4	1008		
1145	43	5	7009		
1146	43	6	614		
1147	43	7	825		
1148	43	8	2443		
1149	43	9	2754		
1150	43	10	3348		
1151	43	11	1289		
1152	43	12	13423		
1153	44	1	867		
1154	44	2	2976		
1155	44	3	2521		
1156	44	4	6179		
1157	44	5	16038		
1158	44	6	16508		
1159	44	7	1211		
1160	45	1	2171		
1161	45	2	3438		
1162	45	3	59037		
1163	45	4	12780		
1164	45	5	16311		
1165	45	6	5632		
1166	45	7	16398		
1167	45	8	11745		
1168	45	9	741		
1169	45	10	6077		
1170	45	11	7259		
1171	45	12	9014		
1172	46	1	9693		
1173	46	2	5180		
1174	46	3	59732		
1175	46	4	4408		
1176	46	5	33477		
1177	46	6	1095		
1178	46	7	11574		
1179	46	8	21643		
1180	46	9	8296		
1181	46	10	13011		
1182	46	11	2119		
1183	46	12	2300		
1184	46	13	527		
1185	46	14	5384		
1186	46	15	7419		
1187	46	16	1010		
1188	46	17	20159		
1189	46	18	966		
1190	46	19	3568		
1191	46	20	1105		
1192	46	21	4322		
1193	46	22	8291		
1194	46	23	2794		
1195	46	24	1524		
1196	46	25	5622		
1197	46	26	7327		
1198	46	27	3363		
1199	47	1	1276		
1200	47	2	7780		
1201	47	3	10053		
