id	word_id	sg1	sg2	sg3	pl1	pl2	pl3
3	18155	агити'рую	агити'руешь	агити'рует	агити'руем	агити'руете	агити'руют
4	28176	аккомпани'рую	аккомпани'руешь	аккомпани'рует	аккомпани'руем	аккомпани'руете	аккомпани'руют
5	8634	анализи'рую	анализи'руешь	анализи'рует	анализи'руем	анализи'руете	анализи'руют
6	10495	аплоди'рую	аплоди'руешь	аплоди'рует	аплоди'руем	аплоди'руете	аплоди'руют
7	2429	аресту'ю	аресту'ешь	аресту'ет	аресту'ем	аресту'ете	аресту'ют
8	12910	аресто'вываю	аресто'вываешь	аресто'вывает	аресто'вываем	аресто'вываете	аресто'вывают
9	24726	асфальти'рую	асфальти'руешь	асфальти'рует	асфальти'руем	асфальти'руете	асфальти'руют
10	23262	баю'каю	баю'каешь	баю'кает	баю'каем	баю'каете	баю'кают
11	1319	бе'гаю	бе'гаешь	бе'гает	бе'гаем	бе'гаете	бе'гают
12	439	бегу'	бежи'шь	бежи'т	бежи'м	бежи'те	бегу'т
13	4055	берегу'	бережёшь	бережёт	бережём	бережёте	берегу'т
14	13436	берегу'сь	бережёшься	бережётся	бережёмся	бережётесь	берегу'тся
15	3040	бесе'дую	бесе'дуешь	бесе'дует	бесе'дуем	бесе'дуете	бесе'дуют
16	18411	бешу'	бе'сишь	бе'сит	бе'сим	бе'сите	бе'сят
17	2460	беспоко'юсь	беспоко'ишься	беспоко'ится	беспоко'имся	беспоко'итесь	беспоко'ятся
18	726	бью'	бьёшь	бьёт	бьём	бьёте	бью'т
19	2512	бью'сь	бьёшься	бьётся	бьёмся	бьётесь	бью'тся
20	3113	благодарю'	благодари'шь	благодари'т	благодари'м	благодари'те	благодаря'т
21	14056	благословлю'	благослови'шь	благослови'т	благослови'м	благослови'те	благословя'т
22	24228	блюю'	блюёшь	блюёт	блюём	блюёте	блюю'т
23	9531	бледне'ю	бледне'ешь	бледне'ет	бледне'ем	бледне'ете	бледне'ют
24	2501	блещу'	блести'шь, бле'щешь	блести'т, бле'щет	блести'м, бле'щем	блести'те, бле'щете	блестя'т, бле'щут
25	24514	бле'ю	бле'ешь	бле'ет	бле'ем	бле'ете	бле'ют
26	8655	блиста'ю,блещу'	блиста'ешь,бле'щешь	блиста'ет,бле'щет	блиста'ем,бле'щем	блиста'ете,бле'щете	блиста'ют,бле'щут
27	3028	болта'ю	болта'ешь	болта'ет	болта'ем	болта'ете	болта'ют
28	9028	бомблю'	бомби'шь	бомби'т	бомби'м	бомби'те	бомбя'т
29	2470	бормочу'	бормо'чешь	бормо'чет	бормо'чем	бормо'чете	бормо'чут
30	1753	борю'сь	бо'решься	бо'рется	бо'ремся	бо'ретесь	бо'рются
31	269	бою'сь	бои'шься	бои'тся	бои'мся	бои'тесь	боя'тся
32	19660	браню'сь	брани'шься	брани'тся	брани'мся	брани'тесь	браня'тся
33	321	беру'	берёшь	берёт	берём	берёте	беру'т
34	2961	беру'сь	берёшься	берётся	берёмся	берётесь	беру'тся
35	10927	бре'жу	бре'дишь	бре'дит	бре'дим	бре'дите	бре'дят
36	18558	бренчу'	бренчи'шь	бренчи'т	бренчи'м	бренчи'те	бренча'т
37	5396	бреду'	бредёшь	бредёт	бредём	бредёте	бреду'т
