word_id	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_conj_id
9	imperfective		бу'дь	бу'дьте	бы'л	была'	бы'ло	бы'ли	53
28	perfective	говорить	скажи'	скажи'те	сказа'л	сказа'ла	сказа'ло	сказа'ли	1773
32	imperfective	смочь	моги'	моги'те	мо'г	могла'	могло'	могли'	2211
50	imperfective	узнать	зна'й	зна'йте	зна'л	зна'ла	зна'ло	зна'ли	550
53	imperfective	сказать;поговорить	говори'	говори'те	говори'л	говори'ла	говори'ло	говори'ли	307
73	imperfective	съесть;поесть	е'шь	е'шьте	е'л	е'ла	е'ло	е'ли	399
90	imperfective	захотеть	хоти'	хоти'те	хоте'л	хоте'ла	хоте'ло	хоте'ли	2167
94	imperfective	завидеть;увидеть	ви'дь	ви'дьте	ви'дел	ви'дела	ви'дело	ви'дели	92
96	imperfective	пойти	иди'	иди'те	шёл	шла'	шло'	шли'	555
99	imperfective	постоять	сто'й	сто'йте	стоя'л	стоя'ла	стоя'ло	стоя'ли	1936
107	imperfective	подумать	ду'май	ду'майте	ду'мал	ду'мала	ду'мало	ду'мали	2212
109	perfective	спрашивать	спроси'	спроси'те	спроси'л	спроси'ла	спроси'ло	спроси'ли	1911
117	imperfective	прожить	живи'	живи'те	жи'л	жила'	жи'ло,жило'	жи'ли	414
121	imperfective	посмотреть	смотри'	смотри'те	смотре'л	смотре'ла	смотре'ло	смотре'ли	1812
122	imperfective		име'й	име'йте	име'л	име'ла	име'ло	име'ли	598
124	perfective	понимать	пойми'	пойми'те	по'нял	поняла'	по'няло	по'няли	1286
125	imperfective	посидеть	сиди'	сиди'те	сиде'л	сиде'ла	сиде'ло	сиде'ли	1771
128	imperfective	сделать	де'лай	де'лайте	де'лал	де'лала	де'лало	де'лали	336
129	perfective	делать	сде'лай	сде'лайте	сде'лал	сде'лала	сде'лало	сде'лали	1757
137	perfective	брать;взимать;взымать	возьми'	возьми'те	взя'л	взяла'	взя'ло,взяло'	взя'ли	89
139	imperfective	понять	понима'й	понима'йте	понима'л	понима'ла	понима'ло	понима'ли	1284
141	imperfective	показаться	кажи'сь	кажи'тесь	каза'лся	каза'лась	каза'лось	каза'лись	626
146	perfective	начинать	начни'	начни'те	на'чал	начала'	на'чало	на'чали	828
159	perfective	видеть	уви'дь	уви'дьте	уви'дел	уви'дела	уви'дело	уви'дели	2020
161	imperfective	дать	дава'й	дава'йте	дава'л	дава'ла	дава'ло	дава'ли	327
164	perfective	идти	пойди'	пойди'те	пошёл	пошла'	пошло'	пошли'	1235
170	perfective	оставаться	оста'нься	оста'ньтесь	оста'лся	оста'лась	оста'лось	оста'лись	984
174	perfective	выходить	вы'йди	вы'йдите	вы'шел	вы'шла	вы'шло	вы'шли	224
178	perfective	давать	да'й	да'йте	да'л	дала'	да'ло,дало'	да'ли	329
179	imperfective	поработать	рабо'тай	рабо'тайте	рабо'тал	рабо'тала	рабо'тало	рабо'тали	1606
180	perfective	оказываться	окажи'сь	окажи'тесь	оказа'лся	оказа'лась	оказа'лось	оказа'лись	926
188	perfective	отвечать	отве'ть	отве'тьте	отве'тил	отве'тила	отве'тило	отве'тили	992
191	perfective	думать	поду'май	поду'майте	поду'мал	поду'мала	поду'мало	поду'мали	1206
193	imperfective	полюбить	люби'	люби'те	люби'л	люби'ла	люби'ло	люби'ли	717
194	imperfective		зна'чь	зна'чьте	зна'чил	зна'чила	зна'чило	зна'чили	551
201	imperfective	подождать	жди'	жди'те	жда'л	ждала'	жда'ло	жда'ли	408
204	perfective	смотреть	посмотри'	посмотри'те	посмотре'л	посмотре'ла	посмотре'ло	посмотре'ли	1316
