id	position	bare	accented	derived_from_word_id	rank	disabled	audio	usage_en	usage_de	number_value	type	level
1		и	и		1	0	https://openrussian.org/audio-shtooka/и.mp3				other	A1
2		в	в		2	0	https://openrussian.org/audio-shtooka/в.mp3				other	A2
3		не	не		3	0	https://openrussian.org/audio-shtooka/не.mp3				other	A1
4		он	он			0	https://openrussian.org/audio-shtooka/он.mp3				other	A1
5		на	на		4	0	https://openrussian.org/audio-shtooka/на.mp3				other	A2
6		я	я			0	https://openrussian.org/audio-shtooka/я.mp3				other	A1
7		что	что		5	0	https://openrussian.org/audio-shtooka/что.mp3				other	A1
8		тот	тот		6	0	https://openrussian.org/audio-shtooka/тот.mp3				adjective	B1
9		быть	быть		7	0	https://openrussian.org/audio-shtooka/быть.mp3				verb	B1
10		с	с		8	0	https://openrussian.org/audio-shtooka/с.mp3				other	A1
11		а	а		9	0	https://openrussian.org/audio-shtooka/а.mp3				other	A2
12	2	весь	весь		10	1	https://openrussian.org/audio-shtooka/весь.mp3				noun	B1
13		это	э'то	30	13	0	https://openrussian.org/audio-shtooka/это.mp3	From *этот*.			other	A1
14		как	как		11	0	https://openrussian.org/audio-shtooka/как.mp3				adjective	A2
15		она	она'			0	https://openrussian.org/audio-shtooka/она.mp3				other	A1
16		по	по		12	0	https://openrussian.org/audio-shtooka/по.mp3				other	B1
17		но	но		13	0	https://openrussian.org/audio-shtooka/но.mp3				other	A2
18		они	они'			0	https://openrussian.org/audio-shtooka/они.mp3				other	A1
19		к	к		14	0	https://openrussian.org/audio-shtooka/к.mp3				other	A2
20		у	у		15	0	https://openrussian.org/audio-shtooka/у.mp3				other	A1
21		из	из		16	0	https://openrussian.org/audio-shtooka/из.mp3				other	A1
22		мы	мы			0	https://openrussian.org/audio-shtooka/мы.mp3				other	A1
23		за	за		17	0	https://openrussian.org/audio-shtooka/за.mp3				other	B1
24		ты	ты			0	https://openrussian.org/audio-shtooka/ты.mp3				other	A1
25		вы	вы			0	https://openrussian.org/audio-shtooka/вы.mp3				other	A1
26		так	так		18	0	https://openrussian.org/audio-shtooka/так.mp3				other	A2
27		же	же		19	0	https://openrussian.org/audio-shtooka/же.mp3				other	B1
28		сказать	сказа'ть		20	0	https://openrussian.org/audio-shtooka/сказать.mp3		кому? о чём?		verb	A2
29		от	от		21	0	https://openrussian.org/audio-shtooka/от.mp3				other	A2
30		этот	э'тот		22	0	https://openrussian.org/audio-shtooka/этот.mp3				adjective	B1
31		который	кото'рый		23	0	https://openrussian.org/audio-shtooka/который.mp3				adjective	A2
32	1	мочь	мочь		24	0	https://openrussian.org/audio-shtooka/мочь.mp3				verb	A1
33		о	о		25	0	https://openrussian.org/audio-shtooka/о.mp3				other	A2
34		человек	челове'к		26	0	https://openrussian.org/audio-shtooka/человек.mp3				noun	A1
35		один	оди'н			0	https://openrussian.org/audio-shtooka/один.mp3				other	A2
36		ещё	ещё		27	0					other	A1
37		бы	бы		28	0	https://openrussian.org/audio-shtooka/бы.mp3				other	B1
38		такой	тако'й		29	0	https://openrussian.org/audio-shtooka/такой.mp3				adjective	A2
39		только	то'лько		30	0	https://openrussian.org/audio-shtooka/только.mp3				other	A1
40		себя	себя'		31	0	https://openrussian.org/audio-shtooka/себя.mp3				other	B1
41		своё	своё		41	1						
42		какой	како'й		32	0	https://openrussian.org/audio-shtooka/какой.mp3				adjective	A2
43		для	для		33	0	https://openrussian.org/audio-shtooka/для.mp3		чего? кого?		other	A2
44		уже	уже'		34	0	https://openrussian.org/audio-shtooka/уже.mp3				other	A2
45		когда	когда'		35	0	https://openrussian.org/audio-shtooka/когда.mp3				other	A2
46		кто	кто		36	0	https://openrussian.org/audio-shtooka/кто.mp3				other	A1
47		вот	вот		37	0	https://openrussian.org/audio-shtooka/вот.mp3				other	A2
48		да	да		38	0	https://openrussian.org/audio-shtooka/да.mp3				other	A1
