id	word_id	rel_word_id	relation
2615	9	37	related
2613	9	59	related
2608	9	73	related
2612	9	264	related
2611	9	1443	related
2609	9	1560	related
2614	9	3003	related
2610	9	4522	related
3023	12	617	synonym
45501	28	363	related
45500	28	734	related
45499	28	2068	related
45487	28	3215	related
45496	28	4229	related
45488	28	6450	related
45494	28	9655	related
45493	28	12706	related
45497	28	14075	related
45492	28	21009	related
45495	28	23654	related
45489	28	23707	related
45498	28	27389	related
45490	28	56276	related
45491	28	56277	related
14586	50	251	related
14584	50	766	related
14567	50	1115	related
14578	50	1368	related
14577	50	1380	related
14575	50	3103	related
14572	50	3398	related
14585	50	4237	related
14580	50	5561	related
14576	50	5850	related
14588	50	6492	synonym
14574	50	7183	related
14583	50	7368	related
14568	50	8649	related
14570	50	10600	related
14571	50	11554	related
14581	50	13413	related
14561	50	21445	related
14573	50	21545	related
14560	50	22226	related
14563	50	22573	related
14587	50	22639	synonym
14569	50	22777	related
14582	50	24599	related
14557	50	24860	related
14559	50	25934	related
14579	50	25999	related
14565	50	27644	related
14562	50	37405	related
14564	50	38009	related
14566	50	38010	related
14558	50	52349	related
10463	53	274	related
10455	53	2101	related
10460	53	2679	related
10462	53	3569	related
10456	53	4141	related
10450	53	6542	related
10465	53	8372	related
10461	53	10144	related
10453	53	10243	related
10451	53	11416	related
10464	53	11866	related
10459	53	28489	related
10457	53	31808	related
10452	53	36625	related
10454	53	36627	related
10458	53	43361	related
4122	56	1862	related
4120	56	2499	related
4121	56	32384	related
4123	56	35894	related
43892	57	258	related
43891	57	687	related
43890	57	1009	related
43887	57	1520	related
43889	57	3431	related
43888	57	4660	related
48300	61	366	related
48301	61	742	related
48306	61	784	related
48288	61	1082	related
48309	61	1995	related
48302	61	2655	related
48289	61	2844	related
48295	61	3395	related
48305	61	3542	related
48303	61	3658	related
48308	61	3880	related
48294	61	4606	related
48304	61	4694	related
48297	61	4891	related
48298	61	6622	related
48307	61	6896	related
48296	61	7566	related
48290	61	8149	related
48299	61	10791	related
48293	61	13665	related
48310	61	13854	related
48291	61	18807	related
48287	61	25562	related
48292	61	56678	related
32132	63	22	related
11788	67	128	related
11791	67	2479	related
11790	67	4555	related
11792	67	14568	related
11789	67	20190	related
12959	73	1200	related
12958	73	1794	related
12947	73	2007	related
12954	73	3302	related
12964	73	4149	related
12940	73	10463	related
12945	73	11346	related
12948	73	12407	related
12944	73	12866	related
12928	73	13446	related
12936	73	13668	related
12962	73	14533	related
12925	73	16193	related
12926	73	18533	related
12946	73	19512	related
12941	73	19982	related
12950	73	20478	related
12939	73	20561	related
12943	73	24269	related
12956	73	25142	related
12929	73	31471	related
12923	73	35449	related
12924	73	36055	related
12927	73	38770	related
12930	73	42212	related
12931	73	43312	related
12932	73	43313	related
12961	73	43317	related
12934	73	44640	related
12935	73	45546	related
12937	73	46322	related
12938	73	46658	related
12963	73	49759	related
12922	73	52060	related
12933	73	52061	related
12942	73	52062	related
12949	73	52063	related
12951	73	52064	related
12952	73	52065	related
12953	73	52066	related
12955	73	52067	related
12957	73	52068	related
12960	73	52069	related
41743	74	35	related
41744	74	51	synonym
41745	74	32481	synonym
41746	74	32525	synonym
10072	78	2799	related
10076	78	4583	synonym
10070	78	9427	related
10071	78	10624	related
10069	78	23232	related
10075	78	36570	related
10073	78	51471	related
10074	78	51472	related
35605	79	35	related
11812	80	3256	related
11814	80	37346	related
11811	80	51834	related
50750	83	17771	related
50753	83	28147	synonym
50747	83	57224	related
50751	83	57224	synonym
50748	83	57225	related
50752	83	57225	synonym
50749	83	57226	related
53390	90	294	related
53391	90	29935	related
10492	92	506	related
10491	92	3405	related
3215	94	1469	related
3213	94	5021	related
3212	94	6329	related
14877	96	164	related
14869	96	174	related
14872	96	210	related
14878	96	254	related
14882	96	255	related
14881	96	267	related
14880	96	329	related
14876	96	362	related
14867	96	397	related
14879	96	472	related
14871	96	1113	related
