gender,example,dictionary form,nominative singular,nominative plural,genitive singular,genitive plural,dative singular,dative plural,accusative singular,accusative plural,accusative (animate) singular,accusative (animate) plural,instrumental singular,instrumental plural,prepositional singular,prepositional plural
masculine,э́тот,от,от,ти,ого,их,ому,им,от,ти,ого,их,им,ими,ом,их
feminine,э́тот,от,та,ти,ой,их,ой,им,ту,ти,ту,их,ой,ими,ой,их
neuter,э́тот,от,то,ти,ого,их,ому,им,то,ти,то,их,им,ими,ом,их
masculine,бе́лый,ый,ый,ые,ого,ых,ому,ым,ый,ые,ого,ых,ым,ыми,ом,ых
feminine,бе́лая,ый,ая,ые,ой,ых,ой,ым,ую,ые,ую,ых,ой / ою,ыми,ой,ых
neuter,бе́лое,ый,ое,ые,ого,ых,ому,ым,ое,ые,ое,ых,ым,ыми,ом,ых
masculine,голубой,ой,ой,ые,ого,ых,ому,ым,ый,ые,ого,ых,ым,ыми,ом,ых
feminine,голубая,ой,ая,ые,ой,ых,ой,ым,ую,ые,ую,ых,ой / ою,ыми,ой,ых
neuter,голубое,ой,ое,ые,ого,ых,ому,ым,ое,ые,ое,ых,ым,ыми,ом,ых
masculine,си́ний,ий,ий,ие,его,их,ему,им,ий,ие,его,их,им,ими,ем,их
feminine,си́няя,ий,яя,ие,ей,их,ей,им,юю,ие,юю,их,ей / ею,ими,ей,их
neuter,си́нее,ий,ее,ие,его,их,ему,им,ее,ие,ее,их,им,ими,ем,их
masculine,ру́сский,гий,гий,гие,гого,гих,гому,гим,гий,гие,гого,гих,гим,гими,гом,гих
feminine,ру́сская,гий,гая,гие,гой,гих,гой,гим,гую,гие,гую,гих,гой / ою,гими,гой,гих
neuter,ру́сское,гий,гое,гие,гого,гих,гому,гим,гое,гие,гое,гих,гим,гими,гом,гих
masculine,,кий,кий,кие,коко,ких,кому,ким,кий,кие,коко,ких,ким,кими,ком,ких
feminine,,кий,кая,кие,кой,ких,кой,ким,кую,кие,кую,ких,кой / ою,кими,кой,ких
neuter,,кий,кое,кие,коко,ких,кому,ким,кое,кие,кое,ких,ким,кими,ком,ких
masculine,,хий,хий,хие,хого,хих,хому,хим,хий,хие,хого,хих,хим,хими,хом,хих
